img cs-avg cs-std h-avg h-std l-avg l-std shsl-avg shsl-std shsv-avg shsv-std v-avg v-std
nirp_boudin_ag002623 21.292847 8.489358 107.645091 28.958690 177.051121 51.312252 57.107924 46.369014 35.465941 34.841538 187.756433 51.251142
nirp_boudin_bermg_1424 16.150538 12.461716 149.226985 98.725786 179.282212 62.542538 60.582060 62.197147 30.415369 38.359436 187.408954 62.446676
nirp_boudin_bermg_1425 47.059876 49.303939 139.117240 73.497284 156.726945 69.734069 106.058821 85.053089 82.490296 82.176372 180.292229 69.698165
nirp_boudin_b-m-1043 30.558118 25.141930 59.099277 59.168241 165.339260 63.306852 83.735384 77.117426 54.268692 55.014883 180.655970 63.928161
nirp_boudin_b-m-689 29.812783 27.844158 67.780049 30.087651 176.088620 65.923573 82.395914 57.700877 52.153192 57.691088 191.053066 62.668871
nirp_boudin_b-m-697 40.460525 22.686049 127.022868 19.330169 153.641447 64.696479 97.720371 60.960555 73.168446 54.952478 173.911106 67.146449
nirp_boudin_brm_bifa_51_1 84.052545 58.168006 76.615890 65.136309 153.480809 56.414516 148.040739 83.390149 118.949835 84.577363 195.506161 51.866224
nirp_boudin_fa000268 34.938413 19.928720 106.294230 62.758575 149.847109 74.901385 120.683119 90.791924 69.203861 57.153312 167.307839 75.329669
nirp_boudin_gla_hag_43457 35.796492 22.509600 59.453862 38.816377 175.952818 58.345336 95.270618 63.292109 57.754040 52.910649 193.895364 58.144365
nirp_boudin_k2924 42.535190 13.353490 48.293914 12.560464 142.089405 53.723280 80.606332 51.548015 78.118725 47.911170 163.372019 56.476627
nirp_boudin_k4001 62.848345 32.315578 28.863795 8.311441 64.347849 52.700566 186.816116 65.637697 200.391702 56.373032 95.699931 64.967341
nirp_boudin_kirmg_180 19.554368 11.965159 150.818146 72.353076 177.479635 61.618980 71.088889 65.575082 33.305026 34.169192 187.295755 62.604343
nirp_boudin_l_f121_1981_0_0 53.753156 21.716356 34.065872 11.134815 139.713473 64.081163 124.954906 78.501384 98.969226 57.905192 166.576244 72.339509
nirp_boudin_ncm_1975_36 50.302662 23.563055 96.241154 46.905370 151.903494 79.270413 163.100169 84.973920 94.881823 67.420517 177.006110 83.345251
nirp_boudin_scag_4_1986 43.837221 24.488384 49.178740 30.781701 144.709548 71.182912 106.656116 59.522484 83.059369 57.788950 166.666851 73.691497
nirp_boudin_scag_45 15.781024 9.543122 77.649785 37.487087 111.250321 54.631022 39.472777 52.970268 50.657413 53.926584 119.169190 53.726502
nirp_canaletto_1314 54.862377 38.817690 66.701347 50.658726 115.809843 89.948548 183.746747 76.588167 141.742503 90.595080 143.191073 94.728977
nirp_canaletto_182 40.204915 21.078193 66.431139 32.901872 121.154248 85.143837 143.343211 79.653151 112.951933 79.321547 141.243560 90.422901
nirp_canaletto_1899_4 30.736769 17.730439 123.232805 78.824407 157.722042 76.284716 107.632431 72.870838 62.117116 52.684802 173.118032 78.085879
nirp_canaletto_1982-32-1-b-m 51.611226 31.026749 78.741036 49.636229 143.478842 67.006950 117.708875 68.988501 92.834031 63.701262 169.310619 69.105404
nirp_canaletto_1982-32-2-b-m 44.789543 23.056041 84.425621 50.902454 149.809572 74.689277 123.632661 62.867926 86.685900 64.167236 172.235692 76.447249
nirp_canaletto_2359 41.623557 22.477793 81.030456 62.931116 143.760601 73.116872 115.309658 71.624770 82.272254 60.402004 164.602481 76.584938
nirp_canaletto_2741 58.755488 36.268536 76.651966 47.134424 150.914936 74.647230 151.251710 67.228225 107.835234 76.324457 180.298097 78.354601
nirp_canaletto_551 43.597773 23.360429 47.311680 33.853385 126.283178 57.004960 94.607791 77.943737 94.777587 69.502572 148.096496 59.492125
nirp_canaletto_767 30.340411 18.664423 103.950774 55.943510 169.433709 79.449861 128.998306 85.078736 55.173875 50.254281 184.623787 82.273139
nirp_canaletto_a450 26.919592 20.549048 137.161796 77.891591 120.545379 88.018460 115.672412 82.990446 91.089991 78.156519 134.001197 87.253927
nirp_canaletto_a451 28.725723 19.658626 117.754138 81.155974 143.505418 89.951660 146.825893 92.815611 83.780168 82.152369 157.841297 88.836531
nirp_canaletto_batvg_p_1935_11 32.120860 27.025623 59.498198 63.973572 124.704227 83.899540 92.510192 57.754679 91.248217 73.000839 140.817952 82.621068
nirp_canaletto_brm_bifa_54_1 80.779182 45.020821 42.331685 34.291634 104.309682 66.662246 178.463805 73.790883 171.355564 82.504586 144.642878 69.482728
nirp_canaletto_cp_tr_150 34.367823 24.273117 149.872443 81.761939 109.186956 87.644865 135.945318 84.899197 103.038885 60.795989 126.332253 95.673448
nirp_canaletto_gla_hag_43504 41.506519 22.368143 75.790262 50.421527 137.505324 64.332057 93.087443 63.323383 86.184570 61.185076 158.291317 68.230998
nirp_canaletto_k5269 41.816878 20.209993 79.846894 40.842453 127.057108 66.261415 101.153429 70.725186 96.388998 68.450781 148.010137 69.934654
nirp_canaletto_k5270 36.099992 14.642163 75.269072 37.781839 120.251143 69.601260 97.149978 70.842021 96.829031 71.175311 138.328874 71.211236
nirp_canaletto_killm_1994_1242 35.116688 21.913716 50.140118 21.712910 140.351402 81.560647 107.796361 64.533521 91.071362 78.402937 157.929240 79.159642
nirp_canaletto_ncm_1890_1206 33.132127 18.906067 68.928522 50.399362 98.063923 61.871214 89.342407 71.107343 102.737532 70.563979 114.628630 63.700530
nirp_canaletto_pd1989_14 35.207107 28.817708 79.925824 61.098681 90.346905 63.911521 94.538938 80.657645 114.438083 79.455069 107.940961 66.921582
nirp_canaletto_skipm_2006_1_135 61.357151 43.085977 43.468878 34.390203 115.247217 63.729733 138.311608 89.536627 128.290856 81.716515 145.900428 71.740372
nirp_canaletto_skipm_2006_1_27 62.483431 33.703964 42.929867 51.986579 112.761506 63.703412 135.712225 78.339760 131.031889 73.118870 143.996582 71.321931
nirp_canaletto_skipm_2006_1_28 66.596407 37.285817 40.637358 24.175179 101.742627 58.631906 131.387515 70.753238 140.271916 59.750704 135.035309 70.492955
nirp_canaletto_som_hm_a263 39.384128 32.047625 90.817650 75.710327 95.970652 60.842151 90.112542 73.414768 95.867188 54.102353 115.664459 73.379020
nirp_canaletto_souag_b42 44.394637 30.726049 41.721298 25.964266 116.632239 82.225184 146.561557 82.064199 131.022419 93.485989 138.805948 83.345830
nirp_canaletto_twcms_b4949 81.614109 64.657372 52.050526 43.455464 144.444358 48.187143 136.013501 96.230292 116.544411 84.223367 185.222435 52.487757
nirp_canaletto_twcms_c186 41.399176 25.793680 66.403720 40.961354 139.233936 70.440077 100.278950 72.870988 93.243435 76.278460 159.961152 66.375139
nirp_canaletto_twcms_c7353 25.800083 18.008623 74.914260 39.192987 142.458984 63.527070 64.499399 64.997917 59.957906 62.879212 155.395198 62.734719
