img r3-cs-avg r3-cs-std r3-h-avg r3-h-std r3-l-avg r3-l-std r3-shsl-avg r3-shsl-std r3-shsv-avg r3-shsv-std r3-v-avg r3-v-std
nirp_berchem_va_pc_2006bh7619 78.326677 45.208364 30.075868 4.304175 73.768653 67.647462 230.668473 38.526715 215.247695 55.770044 112.801826 85.481818
nirp_berchem_va_pc_2006bh7747 17.744434 15.231990 45.189109 14.337992 15.506331 18.157613 198.314881 71.381174 214.152955 58.087571 24.263996 24.806341
nirp_berchem_va_pc_2006bh7829 16.366391 8.444231 54.879758 10.020918 18.028412 15.891316 168.162441 74.023862 192.637206 58.061034 26.150183 19.358266
nirp_berchem_va_pc_2006bh7869 24.188324 22.019500 53.687695 23.604244 47.562875 56.906364 103.265644 54.365285 128.604891 52.682552 59.652541 64.386629
nirp_berchem_va_pc_2007bn5322 141.430802 43.633817 28.491639 5.726378 111.076600 55.226074 241.741759 24.408291 212.658955 40.571188 181.642232 73.237220
nirp_berchem_va_pc_2007bn6050 52.310037 39.582789 44.643620 12.796507 73.509059 68.643291 173.167976 72.962434 172.973484 61.250431 99.609875 86.667381
nirp_berchem_va_pc_2007bp0859 124.333853 36.534080 22.767083 5.739246 117.613864 64.188144 242.331334 24.935189 197.517728 59.081753 179.632281 72.889012
nirp_berchem_va_pc_2007bp0898 155.455580 31.182756 23.071566 3.841845 114.984170 38.140416 219.102564 35.446722 211.626098 27.892500 192.640785 50.684120
nirp_berchem_va_pc_2007bp1122 48.296858 34.731222 20.669200 5.927462 28.121651 27.487338 246.486033 25.502788 249.066142 19.278594 52.063439 43.933440
nirp_berchem_va_pc_2007bp1342 141.333183 51.286532 29.942397 6.077153 91.861156 38.917118 221.748058 41.989702 227.766877 28.744933 162.409425 61.558510
nirp_botticelli_70_70 120.188428 41.797542 16.585381 25.998187 98.336448 55.273486 220.926816 39.119510 210.786547 45.962167 158.346392 70.496138
nirp_botticelli_brm_bifa_43_10 55.881742 47.373022 64.443844 59.079265 91.696667 73.955628 132.523423 75.741429 125.831111 60.423409 119.624294 92.215169
nirp_botticelli_k1659 49.708521 47.350942 44.238048 30.658038 50.248572 50.993197 162.436076 78.917940 182.379127 71.132428 75.052108 68.690590
nirp_botticelli_twcms_f6124 68.040633 41.710083 34.690429 33.354014 114.499760 54.714834 108.023732 65.066494 110.947531 52.620870 148.551360 67.288717
nirp_botticelli_twcms_g1941 108.922832 53.680403 23.842601 10.473708 97.086566 60.069212 210.696973 52.912663 199.849538 63.462293 151.468022 75.100767
nirp_botticelli_va_pc_2006aj4912 121.696742 52.930281 29.127197 18.558676 140.959922 51.140659 194.914106 78.769546 147.650269 39.987868 201.700538 73.073802
nirp_boudin_1_12 20.792079 13.487105 113.860706 28.012501 225.385771 21.984427 108.143761 55.846328 23.897583 19.802952 235.842837 18.461631
nirp_boudin_180 18.295315 10.188329 43.430480 10.299372 211.010390 43.109429 74.542553 33.150905 26.487057 31.719517 220.134354 40.121635
nirp_boudin_1977_653 18.661466 12.215597 93.647276 44.384656 218.431487 43.788135 117.578764 76.036801 25.045875 26.194938 227.846741 41.561101
nirp_boudin_1977_654 28.054821 21.840747 77.064845 25.769502 196.433449 41.493011 76.708959 39.721209 38.790412 38.863822 210.529385 36.371983
nirp_boudin_2378 89.966469 47.862507 26.403931 27.547378 158.080846 72.203333 218.468836 47.526726 135.089656 87.220095 202.980882 58.744545
nirp_boudin_2379 11.473306 7.785966 75.798393 58.931488 220.106808 33.488672 82.254394 80.823503 13.915433 10.224521 225.907488 33.631014
nirp_boudin_2916 20.781329 14.626511 90.273159 67.949270 144.701850 58.907645 66.636339 85.336844 36.114322 23.382742 155.135618 63.484941
nirp_boudin_352 53.567024 17.288378 32.372124 4.552829 195.429920 59.953212 207.257880 70.102312 71.476900 48.760176 222.146602 57.779556
nirp_boudin_3605 22.255978 14.557498 44.580209 23.471303 159.493812 63.633632 55.835166 43.450212 42.608417 40.323073 170.670963 63.313408
nirp_boudin_ag002293 18.235502 8.431206 170.665450 30.574550 214.557574 47.962366 106.979293 62.579090 26.430127 30.723101 223.728978 47.350254
nirp_boudin_ag002623 21.993332 7.358805 112.361323 15.981231 155.067372 63.711304 61.205407 55.085035 52.444454 57.153189 166.107323 62.212487
nirp_boudin_bermg_1424 11.037731 5.009156 178.818133 67.198776 206.774453 51.504941 75.063176 74.054093 15.848894 12.093613 212.340934 51.313421
nirp_boudin_bermg_1425 33.065072 33.396120 165.417883 64.038202 192.706370 58.637767 109.290341 93.645456 42.193481 44.861117 209.278828 63.309392
nirp_boudin_b-m-1043 39.168094 19.340600 48.269613 48.083514 180.030965 53.777743 108.219683 69.649803 58.304951 42.936371 199.650666 51.761208
nirp_boudin_b-m-689 19.296832 9.397953 65.783212 22.094082 205.715814 60.076313 104.540502 59.968870 32.568372 44.158536 215.455632 59.403519
nirp_boudin_b-m-697 30.302376 9.419762 123.211514 10.770924 201.941712 47.990771 117.430040 59.350085 45.676496 46.773390 217.144116 47.120424
nirp_boudin_brm_bifa_51_1 26.876413 35.349707 71.065620 72.715109 192.543767 52.482826 91.592915 87.434195 42.113692 63.027636 206.005501 47.461004
nirp_boudin_fa000268 41.885845 21.908863 130.872386 42.598487 113.459325 75.479931 126.269466 80.061292 113.544370 76.052099 134.383171 72.608386
nirp_boudin_gla_hag_43457 40.033189 19.790125 47.187199 30.787804 206.884470 36.442544 137.657618 70.418787 48.768098 33.482510 226.920755 32.321113
nirp_boudin_k2924 42.846405 7.552094 46.572495 5.211988 153.197907 35.344079 67.180008 27.245760 68.126222 29.462480 174.656473 36.015016
nirp_boudin_k4001 80.371561 25.576900 31.175359 4.137823 75.195455 49.115113 188.892943 54.471048 199.386812 51.328046 115.335496 55.177034
nirp_boudin_kirmg_180 16.167324 7.841174 180.942448 65.234113 226.450806 40.382223 154.780184 85.726507 19.177835 12.506004 234.526547 40.367122
nirp_boudin_l_f121_1981_0_0 74.150330 12.723204 32.310120 3.736069 192.348198 21.752400 173.157838 68.030039 82.743483 10.347745 229.425706 25.630372
nirp_boudin_ncm_1975_36 41.340939 16.786517 99.530513 45.164645 162.286526 75.351779 133.370160 70.303432 80.917538 70.449887 182.968585 77.508638
nirp_boudin_scag_4_1986 41.502142 11.934339 46.902329 10.231523 191.100778 54.517700 139.756395 68.079705 54.691663 25.291042 211.894426 57.576651
nirp_boudin_scag_45 11.185239 5.883002 74.688399 27.878786 148.671934 21.536763 14.852206 7.995168 20.017248 11.899645 154.322016 20.992047
nirp_canaletto_1314 67.784916 50.041770 38.430258 32.709717 95.913972 80.223868 189.882482 64.775172 174.875511 87.019264 129.771695 83.186950
nirp_canaletto_182 44.500090 26.012870 61.131344 24.708104 164.716245 68.864657 122.554400 67.575287 74.656600 49.817264 186.995690 73.368516
nirp_canaletto_1899_4 20.141744 8.114443 175.748150 33.327985 228.567609 29.216243 152.200722 75.649840 23.276752 15.363880 238.641564 28.291228
nirp_canaletto_1982-32-1-b-m 58.881682 22.442705 53.999459 43.536358 137.627778 56.267146 111.261291 59.301390 100.143363 47.505070 167.102973 60.047316
nirp_canaletto_1982-32-2-b-m 42.033003 16.926413 105.709730 44.072752 196.629189 47.206003 130.289009 47.846153 54.050841 30.912379 217.704715 45.559278
nirp_canaletto_2359 51.699085 26.928011 64.875354 59.168820 167.179760 57.666542 118.057492 56.187836 76.726145 45.652242 193.077027 57.797706
nirp_canaletto_2741 34.539472 22.501820 91.566709 34.202186 209.735961 43.116845 127.146314 60.436672 46.468825 50.084777 227.052339 38.883984
nirp_canaletto_551 40.370631 24.022706 53.962703 32.293929 175.240060 39.109158 83.255435 58.357806 56.758228 38.437113 195.477538 37.123641
nirp_canaletto_767 30.506494 15.864031 118.270593 52.168870 210.675265 56.067696 163.028169 71.724424 42.629479 40.362716 225.942611 54.741798
nirp_canaletto_a450 25.280617 19.839086 107.359059 88.088215 169.532365 77.281765 119.320486 89.653024 50.122529 46.588190 182.166436 73.438926
nirp_canaletto_a451 23.711679 18.244282 90.049719 101.876725 159.014150 72.941248 112.852639 100.431397 43.789697 34.600237 170.829724 71.420551
nirp_canaletto_batvg_p_1935_11 47.516865 39.549432 37.115380 42.158524 170.956740 70.394137 107.917478 56.363881 81.322811 71.584485 194.794733 56.809474
nirp_canaletto_brm_bifa_54_1 91.742640 49.205752 24.769773 7.967869 77.520777 59.747153 221.713827 46.967969 215.952599 51.802146 123.273670 78.349755
nirp_canaletto_cp_tr_150 28.809034 14.540037 159.730282 94.596065 78.877131 75.217294 105.985654 58.670540 107.775480 42.840317 93.288055 79.152323
nirp_canaletto_gla_hag_43504 26.271950 13.186615 76.140580 39.299559 185.551615 38.826972 67.277004 50.192558 38.528708 32.386146 198.750568 38.049225
nirp_canaletto_k5269 37.851004 9.484671 91.662721 28.437814 187.289542 41.073736 98.164070 46.186423 49.772670 21.228680 206.306413 42.573458
nirp_canaletto_k5270 38.743686 18.084939 69.020228 28.845803 163.301045 59.406402 95.705819 60.936543 72.178562 63.247934 182.714578 58.987265
nirp_canaletto_killm_1994_1242 37.490519 23.624120 49.224442 13.236701 181.709428 56.774543 92.891996 32.251418 59.023030 51.084164 200.510947 49.966718
nirp_canaletto_ncm_1890_1206 44.790393 27.329042 53.665382 45.037455 98.705406 55.647638 99.194609 69.056788 120.467610 70.054948 121.104472 60.893944
nirp_canaletto_pd1989_14 27.398305 18.680292 76.290269 36.487185 138.110049 39.656560 48.931783 56.359094 58.906780 61.547747 151.868824 35.030083
nirp_canaletto_skipm_2006_1_135 100.383897 41.161925 26.540094 7.176434 109.371029 68.620822 215.915572 42.374956 187.679693 64.839421 159.483431 78.817823
nirp_canaletto_skipm_2006_1_27 81.086088 23.486786 18.558072 13.220267 78.594247 58.739086 207.534945 52.560399 203.508189 61.214750 119.062961 64.597535
nirp_canaletto_skipm_2006_1_28 100.646293 44.139088 24.683032 14.797968 107.232761 58.983654 189.424653 56.339748 184.350844 63.690598 157.516335 69.664097
nirp_canaletto_som_hm_a263 63.931577 33.006766 51.560435 55.536927 145.502864 49.548224 112.458554 71.161956 89.255757 29.333091 177.494966 62.785842
nirp_canaletto_souag_b42 70.520160 42.148470 41.067089 22.830371 137.269889 72.973635 159.272323 68.198952 132.102091 84.515381 172.517306 70.143053
nirp_canaletto_twcms_b4949 71.063199 46.620776 32.077762 22.965747 127.978035 65.070910 156.136106 90.957307 130.742950 85.560404 163.463516 65.721090
nirp_canaletto_twcms_c186 31.724741 24.448501 83.588558 29.781054 182.922414 46.496904 63.900229 39.350488 50.374397 53.170020 198.862702 37.868712
nirp_canaletto_twcms_c7353 19.729109 13.631293 82.635461 28.760569 167.481216 37.965900 37.605960 33.281781 35.604696 40.403470 177.410415 35.484921
nirp_canaletto_twcms_c7370 43.942104 20.229521 39.528079 9.666963 208.035061 52.915628 188.897663 55.427513 58.436350 49.531793 230.042194 46.090922
nirp_canaletto_va_pc_2006bh7594 37.950763 16.347309 70.436794 37.609112 144.335316 84.079252 133.805996 65.576870 92.999039 71.188988 163.334625 86.821167
nirp_canaletto_va_pc_2007bn4503b 82.633113 22.731129 31.168302 4.985234 188.038170 41.112332 196.653883 53.947292 97.258669 40.019288 229.333233 36.867814
nirp_canaletto_va_pc_2007bn5794 111.464921 54.239653 37.704078 15.296202 114.869156 69.292408 228.912891 42.664165 190.946613 72.107193 170.493636 78.925979
