img itct-sat-sl-r3 itct-sat-sl-r7 itct-sat-sl-sg itct-sat-sv-r3 itct-sat-sv-r7 itct-sat-sv-sg itct-lightdark-l-r3 itct-lightdark-l-r7 itct-lightdark-l-sg itct-lightdark-v-r3 itct-lightdark-v-r7 itct-lightdark-v-sg itct-hue-h-r3 itct-hue-h-r7 itct-hue-h-sg itct-hue-cs-r3 itct-hue-cs-r7 itct-hue-cs-sg itct-warmcold-h-r3 itct-warmcold-h-r7 itct-warmcold-h-sg itct-warmcold-cs-r3 itct-warmcold-cs-r7 itct-warmcold-cs-sg itct-comp-h-r3 itct-comp-h-r7 itct-comp-h-sg itct-comp-cs-r3 itct-comp-cs-r7 itct-comp-cs-sg
nirp_berchem_a1909 7.518315 17.045997 16.066392 7.801887 14.254488 14.709707 11.624744 22.630390 30.469074 20.103447 38.170912 52.746543 13.994678 1.308345 22.580667 27.490739 36.232264 26.505311 24.443727 7.996275 45.099366 25.870407 57.898589 26.688175 37.609897 108.090493 31 74.329390 177.717559 827
nirp_berchem_bolmg_1937_5 25.717521 31.946210 45.262850 25.044481 32.522517 41.945527 38.907931 49.574550 60.469392 43.488875 55.184686 71.036804 25.249487 13.648855 35.145512 22.533173 58.332275 27.434726 13.708740 0.151182 18.775809 19.662283 37.850859 24.596029 85.467742 131.208771 497 44.638452 67.388834 41
nirp_berchem_br10 68.052044 73.927806 76.751079 67.779485 73.574231 75.820418 52.835377 58.966592 61.775545 54.263278 62.100795 65.976723 14.406847 27.460509 16.952126 27.457990 22.500984 27.384846 17.248550 7.659365 27.347338 18.860002 33.987971 27.090601 51.060762 87.248664 31 49.029131 115.952872 49
nirp_berchem_eastg_1594 29.765170 39.112529 41.917130 44.071941 51.573610 55.837960 50.135348 57.385774 62.816745 58.480539 68.587323 74.047772 14.034483 27.437385 16.079336 25.810471 5.944126 25.550896 26.781544 10.134937 43.660669 24.550813 53.702451 26.720382 36.658637 52.395768 0 76.451439 174.437324 1419
nirp_berchem_eu_702 48.953588 57.008287 63.222051 60.001001 68.332748 71.725220 48.536615 57.700311 63.657284 45.105248 55.887165 62.667869 20.035882 6.644923 29.626265 27.292044 33.967141 27.417210 14.059398 1.950436 25.416083 13.448944 28.434064 18.849377 60.603150 163.282526 25 51.661416 163.074917 2
nirp_berchem_eu_703 37.171867 43.550186 52.477734 65.527636 76.510415 81.440678 60.155194 73.891516 81.412702 53.344681 68.445965 78.501070 12.517978 7.087464 14.178983 27.465897 7.793836 27.445407 22.945835 8.413708 31.203934 20.490236 41.003423 26.621917 41.816693 55.395979 0 88.680923 140.814355 221
nirp_berchem_eu_734 44.392496 57.210686 73.274328 64.545933 73.749106 71.193559 75.924335 85.317530 90.399849 81.305276 90.484192 95.851391 11.540400 5.377162 15.233082 11.530157 17.822163 27.250585 18.069562 13.119742 20.247491 20.867205 10.232200 20.437424 41.703215 74.749923 5 55.305565 82.694170 0
nirp_berchem_hasmg_960_53 14.798962 20.490550 24.017678 20.067624 27.538947 27.924319 26.233286 33.860919 38.285178 29.271141 37.668696 41.951062 25.316767 10.762904 34.240900 27.461774 43.600873 27.388181 11.395342 10.062063 16.834721 21.193668 23.978152 26.445565 82.016133 179.518847 102 33.643070 76.777875 0
nirp_berchem_k1090 56.035372 64.794669 69.232899 67.996074 73.092470 78.060934 54.707922 59.397875 65.313397 52.464333 58.307027 64.898166 18.441603 3.453685 24.088068 27.319009 28.301043 27.448412 13.680840 5.652129 20.945810 16.891168 34.208141 24.450999 60.677797 137.251599 34 44.155411 96.544199 213
nirp_berchem_k2402 45.309324 52.317289 55.736923 46.061818 51.196604 53.902608 25.976600 36.525702 43.248007 24.976527 39.322788 47.524550 37.839411 1.247020 55.066114 19.170666 62.465250 27.450335 16.898491 3.467201 25.543537 26.775028 29.887023 23.990660 118.238611 178.667869 35 49.971497 103.907495 4
nirp_berchem_leamg_a386_1953 31.863494 37.374984 44.726601 43.909764 52.113617 57.204236 40.604448 52.505038 62.818678 36.765922 48.954447 62.062109 11.387083 0.406791 14.579165 27.470903 28.945261 24.671845 12.456629 1.720502 17.180394 13.628718 29.181975 24.797525 38.505971 68.842286 18 40.712211 85.570579 95
nirp_berchem_ncm_1953_104 37.989710 49.265058 58.775434 33.339813 46.998620 62.220426 36.666990 43.410441 51.670199 48.719824 58.094801 69.080334 12.189395 0.593622 19.209445 27.391957 43.359493 27.373969 35.575491 11.140535 44.717642 24.420477 54.675992 26.660147 40.514698 96.046602 103 115.041872 178.576141 714
nirp_berchem_ntsb13 15.219122 41.976415 55.033542 37.566338 43.943735 52.245635 71.019994 78.893016 83.920367 73.855394 82.598237 87.544106 27.801861 11.066883 45.751539 27.294574 70.724693 27.461587 12.745532 2.903426 18.473601 19.937943 25.597486 25.272450 100.396147 177.560547 579 34.263734 70.209144 0
nirp_berchem_nwhcm_1991_1_1_f 40.052703 48.363786 48.920004 22.664691 32.959917 37.617346 36.599380 41.541834 44.293020 62.766551 70.193940 72.873959 6.705695 11.120544 7.882775 27.481363 5.625015 2.204930 65.217914 14.998217 76.213313 24.027552 86.041209 26.129259 18.226025 37.573487 0 177.692220 179.983719 3597
nirp_berchem_op31 21.641979 39.018203 43.584804 31.451529 39.098085 41.804840 47.436091 52.539281 56.969091 61.793919 67.730424 74.163157 7.215911 27.449978 8.589164 27.475878 6.174420 25.098071 41.897967 19.997714 46.854509 22.442286 54.671452 26.888966 23.038629 40.071407 0 128.874046 172.815491 989
nirp_berchem_plymm_061 34.233683 40.855710 42.165534 65.268587 74.052277 77.868653 71.168462 78.443537 82.974814 77.762838 84.466958 89.998450 11.144117 22.103495 14.106995 27.442334 16.330047 27.441311 30.543473 5.034130 36.389431 26.916028 44.697908 26.425961 32.789199 65.461736 0 100.044379 150.000652 90
nirp_berchem_rocdg_1230 58.082583 66.996428 74.319137 50.901504 55.634830 60.050871 73.729527 77.931109 81.044594 71.944552 76.528522 80.032556 18.984640 25.122137 23.331993 27.141545 25.131432 26.715327 12.765783 5.683762 18.138125 21.810445 26.406789 25.185592 69.127880 111.406439 0 44.572345 107.753717 38
nirp_berchem_som_hm_a112 30.708070 35.621661 43.873241 34.366087 40.488230 42.335530 46.382144 56.612002 61.924575 60.012123 73.481059 80.911370 10.038940 3.358055 11.748812 27.459076 8.119679 26.418406 39.010767 14.789954 49.467057 26.518987 57.678967 26.978633 26.175577 35.522178 0 107.000996 173.083933 750
nirp_berchem_som_hm_a291 48.910531 56.542937 63.097001 68.527910 72.623326 75.859013 58.633818 62.608264 68.485735 58.785794 64.006936 70.971620 9.520010 27.481642 10.597021 27.478502 7.420700 10.882983 7.569892 11.032626 17.576106 17.669924 24.972970 25.425123 26.345598 41.012549 0 27.454472 80.553477 0
nirp_berchem_som_hm_a56 45.589221 56.362114 61.324105 23.420215 32.811873 35.762858 51.248740 55.686833 61.219579 72.121729 78.424104 86.322505 11.051028 0.401856 20.310403 27.439608 39.964569 15.996704 60.033487 26.106463 66.640544 26.143278 75.172515 27.153925 31.039126 99.684957 7 161.358298 179.838134 2300
nirp_berchem_som_hm_a7 45.622702 53.206442 57.632689 50.764027 62.619037 65.173974 22.299017 33.418412 49.733043 23.559228 35.220493 53.522144 30.408883 3.466307 37.578169 18.785390 59.067440 27.395650 11.775859 3.228607 17.119103 13.013606 24.293318 27.222831 93.238485 179.270059 149 34.564212 68.804305 0
nirp_berchem_souag_b43 48.744849 62.249653 70.963557 84.385109 91.252837 96.586354 80.466353 84.338849 92.171004 78.015062 81.760164 89.174632 29.255192 16.286987 35.606611 26.892264 37.128649 26.751855 14.949139 5.442422 22.227793 26.872111 27.595601 24.508471 89.203352 141.931060 4 56.661329 100.610814 6
nirp_berchem_twcms_b8413 22.674143 30.603512 36.537396 22.182849 30.722284 34.126066 19.198842 27.359087 32.918085 24.570733 35.650252 46.434548 3.553275 27.446980 6.617591 27.476475 7.918478 19.130291 18.682176 6.914244 29.450737 25.541517 37.929460 25.453417 12.169998 41.474494 0 73.709328 171.945263 132
nirp_berchem_twcms_b8415 28.390904 38.951976 42.928293 37.280521 43.675342 48.000278 38.049394 44.677158 51.306489 43.775557 52.189071 61.578841 8.196129 27.444752 9.998493 27.474020 6.458011 27.448258 17.479452 15.046038 25.833246 25.565000 36.883798 26.999375 24.256922 39.970395 0 55.957685 119.462474 155
nirp_berchem_twcms_b9989 55.799428 58.807216 63.309138 60.439946 64.523435 67.827753 44.120072 49.562139 53.843693 43.606972 49.852669 55.090910 35.525945 5.221974 42.622718 27.484459 45.790730 27.415837 8.648727 9.457153 14.421421 24.180854 23.163396 26.998529 110.571315 158.518307 4 26.043760 62.971732 0
nirp_berchem_va_pc_2006bh7540 33.194625 48.298564 63.892988 52.624952 56.339523 59.232491 74.786294 80.287765 85.990698 78.175674 84.390959 90.240179 26.314219 9.449675 38.393105 27.213942 46.303479 27.167762 11.114125 8.316611 16.121299 23.082851 19.676806 26.935223 82.835876 170.382710 49 33.520485 68.708809 0
nirp_berchem_va_pc_2006bh7542 21.454720 32.975766 39.038182 24.157042 32.393009 35.305153 42.253273 49.729706 55.140138 47.771886 55.937419 62.340950 21.811109 12.273087 33.891068 20.936174 53.761404 27.421028 16.649602 3.465072 20.440200 12.934657 27.707913 27.208637 68.495426 124.398242 155 43.027288 88.556655 41
nirp_berchem_va_pc_2006bh7619 46.168497 53.243681 57.182163 71.312742 77.178304 81.269695 72.914821 78.641101 81.831003 80.026961 87.102923 92.146851 14.053224 22.729703 17.147086 24.836614 17.474873 24.103223 33.047046 8.844399 41.739790 18.580642 47.813533 22.776537 42.140210 79.737272 0 113.878808 175.789971 685
