img glcm-cs-ct1 glcm-cs-ct6 glcm-cs-ct20 glcm-cs-en1 glcm-cs-en6 glcm-cs-en20 glcm-cs-hm1 glcm-cs-hm6 glcm-cs-hm20 glcm-cs-cr1 glcm-cs-cr6 glcm-cs-cr20 glcm-h-ct1 glcm-h-ct6 glcm-h-ct20 glcm-h-en1 glcm-h-en6 glcm-h-en20 glcm-h-hm1 glcm-h-hm6 glcm-h-hm20 glcm-h-cr1 glcm-h-cr6 glcm-h-cr20 glcm-l-ct1 glcm-l-ct6 glcm-l-ct20 glcm-l-en1 glcm-l-en6 glcm-l-en20 glcm-l-hm1 glcm-l-hm6 glcm-l-hm20 glcm-l-cr1 glcm-l-cr6 glcm-l-cr20 glcm-shsl-ct1 glcm-shsl-ct6 glcm-shsl-ct20 glcm-shsl-en1 glcm-shsl-en6 glcm-shsl-en20 glcm-shsl-hm1 glcm-shsl-hm6 glcm-shsl-hm20 glcm-shsl-cr1 glcm-shsl-cr6 glcm-shsl-cr20 glcm-shsv-ct1 glcm-shsv-ct6 glcm-shsv-ct20 glcm-shsv-en1 glcm-shsv-en6 glcm-shsv-en20 glcm-shsv-hm1 glcm-shsv-hm6 glcm-shsv-hm20 glcm-shsv-cr1 glcm-shsv-cr6 glcm-shsv-cr20 glcm-v-ct1 glcm-v-ct6 glcm-v-ct20 glcm-v-en1 glcm-v-en6 glcm-v-en20 glcm-v-hm1 glcm-v-hm6 glcm-v-hm20 glcm-v-cr1 glcm-v-cr6 glcm-v-cr20
nirp_berchem_1974_433 6697076 61020912 161122156 58033.881 48498.796 21071.621 159725.993 112811.989 87755.353 1.000000 1.000000 1.000025 129331670 283853666 467590391 58099.475 48098.628 20375.952 176371.437 125354.319 97271.142 1.000000 1.000000 1.000000 34590038 276149238 868160479 50369.848 42483.213 8754.528 130588.959 102118.875 82197.974 1.000000 1.000000 1.000000 512244000 1121262756 1654479842 58275.721 47910.969 19636.149 129227.918 100982.774 81508.793 1.000000 1.000000 1.000000 348357546 875555588 1461393921 58048.793 47779.134 19395.758 128022.411 100541.564 81199.795 1.000000 1.000000 1.000036 35888942 277285218 824424653 51933.100 44462.608 15248.292 127104.629 99776.592 80598.338 1.000000 1.000000 1.000000
nirp_berchem_1985_645 10784249 137646366 436464416 7880.579 4059.049 2905.022 108620.848 40151.657 21294.811 1.000295 1.000000 3.089506 423167705 970510643 962768845 43161.241 58638.315 36474.637 233844.948 170191.865 132070.996 1.000000 1.000000 1.000000 24610690 175034531 421160818 13396.606 7252.432 5222.076 135471.934 62001.270 36485.344 1.000000 1.000000 1.000000 92325274 281690251 332048613 38851.987 49431.382 42782.023 224827.513 204268.242 191352.078 1.007123 1.081146 1.000000 43014673 168999834 251545293 5644.134 20923.194 47778.430 172299.053 132596.783 115534.939 1.000000 1.194378 -1.125103 33374836 319434954 880853395 61531.473 55144.775 44364.170 152931.922 108503.982 90280.389 1.000000 1.000000 1.000000
nirp_berchem_210_1892 2663207 31983187 121222914 11391.093 7371.352 5473.898 139717.682 67024.139 37568.075 1.000000 1.000000 1.019152 6801438 24514475 38344248 29512.040 18372.858 13443.753 195220.932 117565.104 72842.777 1.000000 1.000091 1.001706 8245016 83921754 190450890 6440.774 3613.379 2772.049 98232.880 37805.780 23687.170 1.000000 1.056697 1.000000 141448245 577341238 856373638 34335.684 25599.631 20584.791 99192.102 52943.783 37371.197 1.011400 1.023707 1.000000 113731526 414766339 603545787 27050.818 19753.962 16644.000 102956.601 49064.564 33791.158 1.000000 1.773791 1.000000 9529625 107855929 288206629 9486.932 6762.425 4607.699 96663.402 39409.682 24759.303 1.005465 1.000000 -3.819955
nirp_berchem_566 5000607 66313171 141781188 14267.948 7836.292 5973.967 115988.165 44911.916 25739.625 1.000072 1.004724 1.000000 129282881 383062956 507306272 20752.022 11721.220 9067.933 134560.441 60507.537 35889.195 1.000043 1.002550 1.000000 8605376 111457467 310923088 10281.126 5957.289 4894.272 101656.162 39317.986 24979.812 1.005444 1.000000 1.000000 267179239 1055132870 1401008327 13919.786 7199.160 4924.805 52536.892 19424.339 12571.429 1.002337 1.000000 1.000000 224757925 855029499 1139895623 9534.946 4787.435 3617.929 54724.445 19102.219 12564.150 1.015984 1.000000 1.000000 11206012 158902845 415967226 9118.143 5122.335 3638.241 96525.414 35315.009 20286.001 1.000000 1.000000 1.000000
nirp_berchem_a1085 2526116 44145542 125187441 17147.889 10573.465 7611.476 158425.378 80280.686 47630.433 1.000008 1.000361 1.008279 142771520 406775255 581671361 25037.541 16218.439 12740.234 168231.159 94884.977 62775.035 1.000000 1.000519 1.043240 19093304 152474852 258120702 14390.681 9723.814 7776.645 134958.315 76120.572 51352.479 1.000000 1.092136 1.000000 271761418 889255062 1419357751 31559.714 63630.334 57479.660 122581.569 84386.492 69126.154 1.000000 1.000000 1.000000 202636620 691644800 1112565298 16323.660 10010.180 7739.315 117675.911 62307.228 38460.571 1.000121 1.000000 1.032876 20708172 180780652 329971004 61521.542 57835.823 53268.198 141615.297 94731.434 75840.986 1.011792 1.000000 1.000000
nirp_berchem_a1907 3122783 43043785 135549959 11668.397 6502.869 4518.706 138274.767 60943.112 29340.397 1.000000 1.000000 1.002075 133226141 393943955 567257103 29559.736 18121.182 13639.726 180874.552 103431.532 65061.784 1.000028 1.001251 1.086165 6053713 48405159 125727529 10229.741 6052.737 4765.924 118941.640 54129.354 35017.655 1.000000 1.031498 1.000000 183892519 705890365 1038975399 58251.103 20134.989 59687.824 132847.669 86848.119 69224.850 1.001308 1.000000 1.000000 125988175 449712339 598796529 47742.582 32013.052 27941.720 120703.524 61666.939 44177.473 1.001350 1.000000 -5.135708 7728079 82051844 240245839 40768.764 37003.226 32046.284 127744.511 73194.121 53668.231 1.000000 1.069275 1.000000
nirp_berchem_a1908 45827453 385656432 918912434 9717.114 5994.481 4346.538 56495.616 26275.939 17901.988 1.000000 1.000000 1.000000 1438237 10767898 21136624 61905.233 44663.758 37540.082 196880.110 129450.391 99673.000 1.000000 1.000000 1.000000 18346973 148440745 313347112 12930.189 8269.016 6394.534 85334.158 41769.966 28771.590 1.000000 1.000000 1.000000 56383542 153472308 179724325 53725.524 58761.251 64880.052 278249.119 270122.606 263198.377 1.000000 1.000000 1.000646 65134065 205630577 250482547 45322.825 59360.594 47484.623 248038.213 230110.463 216805.994 1.000000 1.000000 1.002686 43095909 423344834 997871658 38902.329 29051.238 19717.261 81207.431 48215.376 33120.966 1.000528 1.000000 1.000000
nirp_berchem_a1909 23169068 163128416 502538405 8607.477 4737.951 3143.986 110264.775 44995.472 18650.684 1.000063 1.007436 1.000000 114495367 355082553 502467071 43255.691 27878.560 22035.976 195216.469 120373.740 83447.292 1.000002 1.000141 1.005472 37070724 198957438 419099395 6942.498 4424.693 3710.691 65131.270 28332.679 19427.460 1.000000 1.000000 1.006890 277233245 895727986 1057237100 46344.694 25846.894 21993.948 66740.633 33446.744 27577.964 1.000000 1.000000 1.000000 184227726 609261909 722479766 37065.352 17893.332 15188.765 63446.149 28562.917 23506.119 1.003178 1.000000 1.000000 40042303 319319396 881814914 10522.513 7152.420 4431.275 65435.944 28872.319 17221.210 1.000275 1.000000 1.000000
nirp_berchem_bolmg_1937_5 5132237 86127996 133925052 34659.050 23568.382 17839.431 167490.765 94193.670 57325.484 1.000000 1.000000 1.000000 263263215 816639418 1228824325 37140.607 23755.968 16250.167 166360.727 93588.627 48449.704 1.000000 1.000000 1.007110 22828086 194863239 376982770 14722.487 9339.688 8136.856 120939.961 55937.456 41485.319 1.002948 1.000000 1.000000 381655801 1278076109 1749628181 25914.590 15780.642 9641.597 82056.320 36555.634 20168.826 1.000252 1.000000 1.000000 328634958 1151663017 1717940241 23414.331 14759.000 8381.477 78987.331 34636.768 18187.447 1.000000 1.173819 1.032530 25566135 287053939 532525586 13194.026 7963.370 6620.640 119803.635 53585.923 37348.189 1.000000 1.084957 1.000000
nirp_berchem_br10 2547618 32242083 108005144 12276.882 6801.187 4755.237 147995.138 64552.273 33409.748 1.000000 1.000000 1.000228 34627441 100831687 170956543 33205.069 20913.605 16189.507 196832.972 117116.277 78656.147 1.000000 1.000000 1.000000 5660798 53336570 135107538 10962.367 6254.831 4644.863 147210.650 64212.150 37423.886 1.004200 1.000000 1.027133 149730338 511485677 732336050 29483.612 59131.360 52615.027 159436.488 95064.634 72321.479 1.000012 1.000000 1.001992 80939194 277523519 381247889 26011.304 58344.878 52351.767 158456.592 91464.534 69990.962 1.000000 1.000000 1.000000 7523772 84139254 232672488 9647.623 5943.622 4402.806 136009.401 57613.139 33070.255 1.000000 1.002355 1.072017
nirp_berchem_eastg_1594 13782677 113489975 311031171 6834.427 3717.646 2777.240 92919.619 34117.265 17852.638 1.000000 1.000000 1.000000 17040413 40729470 48120870 22847.841 13638.858 10876.759 167599.692 87776.898 60064.683 1.000000 1.000000 1.000000 32227161 192786209 396495444 6554.302 4135.310 3275.429 81193.601 37041.447 24674.205 1.000000 1.076476 1.000000 240969902 610921501 749534428 51700.658 38551.067 13517.260 144785.128 108273.819 98532.291 1.000584 1.000000 1.000000 153822707 420729274 584437649 52395.312 53980.377 46847.668 143525.766 100076.357 89798.413 1.014991 1.000000 -3.336409 43886068 299592097 666307541 18836.206 14923.083 11146.613 74061.401 38598.895 26156.596 1.000000 1.247120 -1.101284
nirp_berchem_eu_702 17953664 136606743 225815500 7867.978 4821.334 4348.021 62546.998 23410.586 18347.101 1.000036 1.002781 1.000000 807076323 1948735846 2051161951 10605.023 5276.773 4480.367 70485.512 23360.293 17867.276 1.000000 1.000000 1.047844 21014947 158670370 346526214 5977.866 3949.502 3543.442 57236.670 24316.935 18044.462 1.000000 1.000000 1.000000 449179904 1638186469 1935455082 55687.616 34350.218 30554.861 77821.424 41990.917 36087.234 1.000000 1.000000 -2.509777 312524310 1144744402 1377135620 51994.643 31360.957 28478.097 81297.330 41874.466 35805.070 1.000000 1.000000 1.152769 29200490 227668230 475803002 5919.962 4308.991 3246.932 49453.172 22106.149 15754.680 1.000000 6.632426 1.000000
